AÑO,Cabecera,Centros Poblados y Rural Disperso,Total
1950,5191533,8379410,13570943
1951,5428140,8484807,13912947
1952,5548402,8721390,14269792
1953,5730799,8910628,14641427
1954,5927863,9100100,15027963
1955,6141360,9288254,15429614
1956,6373318,9473251,15846569
1957,6625885,9653042,16278927
1958,6901250,9825132,16726382
1959,7201656,9986912,17188568
1960,7529337,10135700,17665037
1961,7885967,10268355,18154322
1962,8272662,10381837,18654499
1963,8690232,10473850,19164082
1964,9138360,10542510,19680870
1965,9615321,10586322,20201643
1966,10118420,10605168,20723588
1967,10643972,10600276,21244248
1968,11187398,10574292,21761690
1969,11743357,10530843,22274200
1970,12305768,10474239,22780007
1971,12868607,10409245,23277852
1972,13426239,10340891,23767130
1973,13974298,10274371,24248669
1974,14510095,10214779,24724874
1975,15032686,10166858,25199544
1976,15542851,10134735,25677586
1977,16041823,10121242,26163065
1978,16530805,10127867,26658672
1979,17010977,10154994,27165971
1980,17482595,10201790,27684385
1981,17945782,10266885,28212667
1982,18400243,10348343,28748586
1983,18845620,10444124,29289744
1984,19287329,10555362,29842691
1985,19731727,10688165,30419892
1986,20319830,10660982,30980812
1987,20910053,10640079,31550132
1988,21502595,10621578,32124173
1989,22095337,10602510,32697847
1990,22682285,10585869,33268154
1991,23274512,10566479,33840991
1992,23874144,10551771,34425915
1993,24494132,10538176,35032308
1994,25103075,10526099,35629174
1995,25698750,10531080,36229830
1996,26301772,10528802,36830574
1997,26887699,10538833,37426532
1998,27473357,10539002,38012359
1999,28035133,10549883,38585016
2000,28574912,10565168,39140080
2001,29103486,10571325,39674811
2002,29577942,10612737,40190679
2003,30030878,10662376,40693254
2004,30470411,10717682,41188093
2005,30900481,10771397,41671878
2006,31336638,10833488,42170126
2007,31762026,10896604,42658630
2008,32177926,10956091,43134017
2009,32591440,11017190,43608630
2010,32997985,11088307,44086292
2011,33392587,11160829,44553416
2012,33768637,11232934,45001571
2013,34129735,11305207,45434942
2014,34486232,11379778,45866010
2015,34853590,11460308,46313898
2016,35273507,11556609,46830116
2017,35749834,11669366,47419200
2018,36424653,11833841,48258494
2019,37425856,11969822,49395678
